Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School (Y/N),Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,total_enrolled,frpm,foster,homeless,migrant,direct_cert,unduplicated_frpm,english_learner,CALPADS Fall 1 Certification Status (Y/N),,
2018-2019,19,64733,1932623,Los Angeles,Los Angeles Unified,El Camino Real Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1314,Directly funded,Y,9,12,"3,562","1,148",2,9,0,752,"1,172",95,"1,207",Y,
2018-2019,19,64733,1932821,Los Angeles,Los Angeles Unified,Boyle Heights Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,70,67,0,4,0,46,67,6,67,Y,
2018-2019,19,64733,1932847,Los Angeles,Los Angeles Unified,Los Angeles Center for Enriched Studies,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,6,12,"1,670",852,1,5,1,444,901,8,901,Y,
2018-2019,19,64733,1932888,Los Angeles,Los Angeles Unified,Downtown Business High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,"1,037",814,4,4,1,493,816,22,817,Y,
2018-2019,19,64733,1932896,Los Angeles,Los Angeles Unified,Arroyo Seco Museum Science,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,K,8,555,408,2,6,2,252,411,67,417,Y,
2018-2019,19,64733,1932920,Los Angeles,Los Angeles Unified,Fairfax Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,827","1,387",7,27,1,789,"1,461",146,"1,489",Y,
2018-2019,19,64733,1932987,Los Angeles,Los Angeles Unified,John H. Francis Polytechnic,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,639","2,304",10,86,0,"1,233","2,312",333,"2,356",Y,
2018-2019,19,64733,1933001,Los Angeles,Los Angeles Unified,King/Drew Medical Magnet High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,"1,567","1,326",7,17,0,741,"1,329",21,"1,330",Y,
2018-2019,19,64733,1933043,Los Angeles,Los Angeles Unified,Benjamin Franklin Senior High,Unified School District,K-12 Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,12,"1,422","1,280",5,42,1,678,"1,283",133,"1,287",Y,
2018-2019,19,64733,1933118,Los Angeles,Los Angeles Unified,John C. Fremont Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,980","1,866",19,50,2,"1,144","1,876",425,"1,920",Y,
2018-2019,19,64733,1933233,Los Angeles,Los Angeles Unified,Sherman Oaks Center for Enriched Studies,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,4,12,"2,087","1,102",2,6,0,626,"1,154",37,"1,163",Y,
2018-2019,19,64733,1933241,Los Angeles,Los Angeles Unified,Gardena Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,363","1,120",19,77,0,619,"1,159",152,"1,177",Y,
2018-2019,19,64733,1933381,Los Angeles,Los Angeles Unified,James A. Garfield Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,569","2,349",4,53,7,"1,309","2,358",161,"2,374",Y,
2018-2019,19,64733,1933746,Los Angeles,Los Angeles Unified,Granada Hills Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,572,Directly funded,Y,9,12,"4,698","2,445",8,8,0,827,"2,457",112,"2,481",Y,
2018-2019,19,64733,1933795,Los Angeles,Los Angeles Unified,Ulysses S. Grant Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,986","1,618",8,39,0,971,"1,675",310,"1,696",Y,
2018-2019,19,64733,1933852,Los Angeles,Los Angeles Unified,Alexander Hamilton Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,602","1,623",9,65,0,941,"1,701",142,"1,724",Y,
2018-2019,19,64733,1934033,Los Angeles,Los Angeles Unified,Hollywood Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,481","1,272",4,40,1,671,"1,276",82,"1,288",Y,
2018-2019,19,64733,1934157,Los Angeles,Los Angeles Unified,Huntington Park Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,387","1,285",10,47,9,734,"1,291",228,"1,314",Y,
2018-2019,19,64733,1934371,Los Angeles,Los Angeles Unified,Thomas Jefferson Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,644,600,6,28,2,388,603,160,621,Y,
2018-2019,19,64733,1934454,Los Angeles,Los Angeles Unified,David Starr Jordan Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,519,477,10,27,3,286,481,143,497,Y,
2018-2019,19,64733,1935121,Los Angeles,Los Angeles Unified,Abraham Lincoln Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,066","1,001",0,31,1,624,"1,002",176,"1,004",Y,
2018-2019,19,64733,1935352,Los Angeles,Los Angeles Unified,Los Angeles Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,250",977,11,38,3,613,"1,017",228,"1,054",Y,
2018-2019,19,64733,1935519,Los Angeles,Los Angeles Unified,Manual Arts Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,339","1,198",12,50,0,692,"1,205",416,"1,283",Y,
2018-2019,19,64733,1935568,Los Angeles,Los Angeles Unified,John Marshall Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,381","1,678",4,25,2,872,"1,745",157,"1,770",Y,
2018-2019,19,64733,1935717,Los Angeles,Los Angeles Unified,Joaquin Miller Career and Transition Center,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,6,12,214,133,1,3,0,27,140,116,166,Y,
2018-2019,19,64733,1935865,Los Angeles,Los Angeles Unified,James Monroe High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,071","1,804",24,191,1,"1,031","1,821",502,"1,884",Y,
2018-2019,19,64733,1936160,Los Angeles,Los Angeles Unified,Nathaniel Narbonne Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,176","1,589",14,73,1,919,"1,650",160,"1,675",Y,
2018-2019,19,64733,1936350,Los Angeles,Los Angeles Unified,North Hollywood Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,522","1,719",8,31,0,990,"1,796",217,"1,837",Y,
2018-2019,19,64733,1937085,Los Angeles,Los Angeles Unified,Ramona Opportunity High,Unified School District,Opportunity Schools,Opportunity School,CEP,No ,N/A,N/A,N,7,12,48,47,1,5,0,28,47,9,47,Y,
2018-2019,19,64733,1937226,Los Angeles,Los Angeles Unified,Reseda Charter High,Unified School District,High Schools (Public),Traditional,CEP,Yes,2005,Locally funded,N,9,12,"1,362","1,123",13,34,0,593,"1,129",232,"1,139",Y,
2018-2019,19,64733,1937424,Los Angeles,Los Angeles Unified,Theodore Roosevelt Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,278","1,209",13,64,1,713,"1,213",226,"1,225",Y,
2018-2019,19,64733,1937622,Los Angeles,Los Angeles Unified,San Fernando Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,080","1,769",7,100,4,956,"1,848",219,"1,862",Y,
2018-2019,19,64733,1937838,Los Angeles,Los Angeles Unified,San Pedro Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,398","1,481",10,54,0,816,"1,534",101,"1,550",Y,
2018-2019,19,64733,1938307,Los Angeles,Los Angeles Unified,South Gate Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,437","2,153",18,54,21,"1,114","2,165",241,"2,184",Y,
2018-2019,19,64733,1938554,Los Angeles,Los Angeles Unified,Sylmar Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1834,Locally funded,N,9,12,"1,552","1,245",13,54,1,666,"1,296",185,"1,322",Y,
2018-2019,19,64733,1938612,Los Angeles,Los Angeles Unified,Taft Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1580,Locally funded,N,9,12,"2,338","1,369",4,26,0,715,"1,443",121,"1,460",Y,
2018-2019,19,64733,1938885,Los Angeles,Los Angeles Unified,University High School Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,2006,Locally funded,N,9,12,"1,511","1,073",3,31,0,564,"1,115",84,"1,124",Y,
2018-2019,19,64733,1938968,Los Angeles,Los Angeles Unified,Van Nuys Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,634","1,986",4,50,0,"1,174","2,000",310,"2,048",Y,
2018-2019,19,64733,1939040,Los Angeles,Los Angeles Unified,Venice Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,984","1,224",3,32,0,751,"1,271",137,"1,310",Y,
2018-2019,19,64733,1939107,Los Angeles,Los Angeles Unified,Verdugo Hills Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,297",928,7,22,2,533,971,81,979,Y,
2018-2019,19,64733,1939305,Los Angeles,Los Angeles Unified,George Washington Preparatory High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,814,730,21,33,0,411,733,157,754,Y,
2018-2019,19,64733,1939479,Los Angeles,Los Angeles Unified,WESM Health/Sports Medicine,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,899,642,2,13,1,386,656,13,658,Y,
2018-2019,19,64733,1939784,Los Angeles,Los Angeles Unified,Joseph Pomeroy Widney Career Preparatory and Transition Center,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,6,12,295,212,5,6,0,23,222,214,267,Y,
2018-2019,19,64733,1939859,Los Angeles,Los Angeles Unified,Woodrow Wilson Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,424","1,253",7,32,5,743,"1,293",112,"1,301",Y,
2018-2019,19,64733,1939941,Los Angeles,Los Angeles Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,349","1,710",9,50,3,809,"1,765",126,"1,779",Y,
2018-2019,19,64733,1995448,Los Angeles,Los Angeles Unified,Francisco Bravo Medical Magnet High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,"1,861","1,579",1,17,10,893,"1,588",15,"1,589",Y,
2018-2019,19,64733,1995794,Los Angeles,Los Angeles Unified,Youth Opportunities Unlimited,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,253,236,1,16,0,165,238,42,241,Y,
2018-2019,19,64733,1995836,Los Angeles,Los Angeles Unified,Palisades Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,37,Directly funded,Y,9,12,"2,964",932,2,5,0,532,954,24,959,Y,
2018-2019,19,64733,1996073,Los Angeles,Los Angeles Unified,Tri-C Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,266,224,15,28,0,143,238,71,247,Y,
2018-2019,19,64733,1996115,Los Angeles,Los Angeles Unified,City of Angels,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,"1,537","1,061",7,85,0,795,"1,129",55,"1,134",Y,
2018-2019,19,64733,1996610,Los Angeles,Los Angeles Unified,Los Angeles Leadership Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,461,Directly funded,Y,6,12,504,282,3,0,0,292,424,117,443,Y,
2018-2019,19,64733,1996651,Los Angeles,Los Angeles Unified,CDS Secondary,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,6,12,36,29,1,1,0,25,30,7,32,Y,
2018-2019,19,64733,6015705,Los Angeles,Los Angeles Unified,Albion Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,201,185,3,8,0,119,188,63,190,Y,
2018-2019,19,64733,6015713,Los Angeles,Los Angeles Unified,Aldama Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,467,358,4,12,1,217,358,145,374,Y,
2018-2019,19,64733,6015721,Los Angeles,Los Angeles Unified,Alexandria Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,671,614,4,22,0,382,616,249,627,Y,
2018-2019,19,64733,6015739,Los Angeles,Los Angeles Unified,Allesandro Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,349,249,1,10,0,138,251,30,255,Y,
2018-2019,19,64733,6015747,Los Angeles,Los Angeles Unified,Alta Loma Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,432,417,6,3,0,250,419,191,424,Y,
2018-2019,19,64733,6015754,Los Angeles,Los Angeles Unified,Ambler Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,560,431,11,28,0,207,441,35,443,Y,
2018-2019,19,64733,6015762,Los Angeles,Los Angeles Unified,Amestoy Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,762,629,4,55,0,378,638,169,653,Y,
2018-2019,19,64733,6015770,Los Angeles,Los Angeles Unified,Anatola Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,389,329,3,17,0,184,332,111,343,Y,
2018-2019,19,64733,6015796,Los Angeles,Los Angeles Unified,Andasol Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,409,258,5,5,0,131,270,63,284,Y,
2018-2019,19,64733,6015804,Los Angeles,Los Angeles Unified,Angeles Mesa Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,341,301,9,14,0,181,303,91,312,Y,
2018-2019,19,64733,6015812,Los Angeles,Los Angeles Unified,Ann Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,95,91,0,0,0,74,91,23,92,Y,
2018-2019,19,64733,6015820,Los Angeles,Los Angeles Unified,Annalee Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,235,175,6,2,0,108,178,12,181,Y,
2018-2019,19,64733,6015838,Los Angeles,Los Angeles Unified,Annandale Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,165,135,2,7,0,77,136,28,141,Y,
2018-2019,19,64733,6015846,Los Angeles,Los Angeles Unified,Apperson Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,432,223,1,3,0,137,245,51,253,Y,
2018-2019,19,64733,6015853,Los Angeles,Los Angeles Unified,Aragon Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,261,230,1,2,0,130,234,103,242,Y,
2018-2019,19,64733,6015861,Los Angeles,Los Angeles Unified,Arlington Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,401,385,5,19,1,251,388,176,393,Y,
2018-2019,19,64733,6015879,Los Angeles,Los Angeles Unified,Arminta Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,418,374,2,19,0,209,380,126,386,Y,
2018-2019,19,64733,6015887,Los Angeles,Los Angeles Unified,Ascot Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,821,781,4,17,4,526,786,314,801,Y,
2018-2019,19,64733,6015895,Los Angeles,Los Angeles Unified,Atwater Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,283,199,3,9,0,113,206,66,215,Y,
2018-2019,19,64733,6015903,Los Angeles,Los Angeles Unified,Avalon Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,206,165,6,8,0,88,167,29,171,Y,
2018-2019,19,64733,6015929,Los Angeles,Los Angeles Unified,Baldwin Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,419,283,7,3,0,174,293,24,297,Y,
2018-2019,19,64733,6015945,Los Angeles,Los Angeles Unified,Bandini Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,286,230,5,11,0,136,232,49,243,Y,
2018-2019,19,64733,6015952,Los Angeles,Los Angeles Unified,Barton Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,573,517,10,12,0,378,520,164,528,Y,
2018-2019,19,64733,6015960,Los Angeles,Los Angeles Unified,Bassett Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,730,670,3,14,1,400,678,268,693,Y,
2018-2019,19,64733,6015978,Los Angeles,Los Angeles Unified,Beachy Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,492,413,1,18,0,237,418,134,431,Y,
2018-2019,19,64733,6015986,Los Angeles,Los Angeles Unified,Beckford Charter for Enriched Studies,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1344,Locally funded,N,K,5,597,124,2,1,0,79,138,12,142,Y,
2018-2019,19,64733,6015994,Los Angeles,Los Angeles Unified,Beethoven Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,349,176,0,3,0,101,185,37,190,Y,
2018-2019,19,64733,6016018,Los Angeles,Los Angeles Unified,Belvedere Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,704,667,6,10,2,429,672,264,678,Y,
2018-2019,19,64733,6016026,Los Angeles,Los Angeles Unified,Bertrand Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,367,305,2,6,0,186,309,124,319,Y,
2018-2019,19,64733,6016034,Los Angeles,Los Angeles Unified,Blythe Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,375,332,8,10,0,200,335,164,348,Y,
2018-2019,19,64733,6016042,Los Angeles,Los Angeles Unified,Bonita Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,458,309,2,15,0,159,326,47,328,Y,
2018-2019,19,64733,6016059,Los Angeles,Los Angeles Unified,Braddock Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,478,251,1,28,0,157,257,41,262,Y,
2018-2019,19,64733,6016067,Los Angeles,Los Angeles Unified,Brainard Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,164,128,6,5,0,78,133,21,138,Y,
2018-2019,19,64733,6016075,Los Angeles,Los Angeles Unified,Breed Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,319,299,2,2,0,203,299,129,305,Y,
2018-2019,19,64733,6016083,Los Angeles,Los Angeles Unified,Brentwood Science,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,462,375,5,12,0,241,390,56,398,Y,
2018-2019,19,64733,6016091,Los Angeles,Los Angeles Unified,Bridge Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,183,173,0,2,0,108,173,44,177,Y,
2018-2019,19,64733,6016109,Los Angeles,Los Angeles Unified,Broad Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,579,457,3,10,0,242,485,118,493,Y,
2018-2019,19,64733,6016117,Los Angeles,Los Angeles Unified,Broadacres Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,259,224,8,15,0,111,230,15,231,Y,
2018-2019,19,64733,6016125,Los Angeles,Los Angeles Unified,Broadway Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,606,101,0,2,0,68,114,48,137,Y,
2018-2019,19,64733,6016133,Los Angeles,Los Angeles Unified,Brockton Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,227,168,3,5,0,97,178,93,184,Y,
2018-2019,19,64733,6016141,Los Angeles,Los Angeles Unified,Brooklyn Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,577,525,8,7,1,311,529,144,537,Y,
2018-2019,19,64733,6016158,Los Angeles,Los Angeles Unified,Bryson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,763,609,5,6,1,293,614,53,614,Y,
2018-2019,19,64733,6016166,Los Angeles,Los Angeles Unified,Buchanan Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,331,257,3,6,0,146,258,54,263,Y,
2018-2019,19,64733,6016174,Los Angeles,Los Angeles Unified,Budlong Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,912,862,15,57,1,564,864,333,884,Y,
2018-2019,19,64733,6016182,Los Angeles,Los Angeles Unified,Burbank Boulevard Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,380,263,4,6,0,148,271,80,287,Y,
2018-2019,19,64733,6016208,Los Angeles,Los Angeles Unified,Burton Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,339,311,2,20,0,192,313,134,319,Y,
2018-2019,19,64733,6016216,Los Angeles,Los Angeles Unified,Bushnell Way Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,192,149,2,6,1,103,162,32,164,Y,
2018-2019,19,64733,6016224,Los Angeles,Los Angeles Unified,Cabrillo Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,362,321,8,61,0,219,322,92,327,Y,
2018-2019,19,64733,6016232,Los Angeles,Los Angeles Unified,Cahuenga Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,458,339,0,10,0,233,366,210,400,Y,
2018-2019,19,64733,6016240,Los Angeles,Los Angeles Unified,Calabash Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1345,Locally funded,N,K,5,425,77,1,3,0,59,92,14,102,Y,
2018-2019,19,64733,6016257,Los Angeles,Los Angeles Unified,Calahan Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,538,347,2,18,0,193,359,83,376,Y,
2018-2019,19,64733,6016265,Los Angeles,Los Angeles Unified,Calvert Charter for Enriched Studies,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1585,Locally funded,N,K,5,375,211,4,9,0,138,235,31,245,Y,
2018-2019,19,64733,6016273,Los Angeles,Los Angeles Unified,Camellia Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,524,480,2,20,1,287,482,199,493,Y,
2018-2019,19,64733,6016281,Los Angeles,Los Angeles Unified,Canfield Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,412,108,2,0,0,83,114,27,127,Y,
2018-2019,19,64733,6016299,Los Angeles,Los Angeles Unified,Canoga Park Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,616,559,7,34,0,349,567,255,582,Y,
2018-2019,19,64733,6016307,Los Angeles,Los Angeles Unified,Cantara Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,407,341,5,17,0,222,343,147,357,Y,
2018-2019,19,64733,6016315,Los Angeles,Los Angeles Unified,Canterbury Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,812,643,2,6,0,339,646,137,655,Y,
2018-2019,19,64733,6016323,Los Angeles,Los Angeles Unified,Canyon Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,226,Locally funded,N,K,5,398,13,0,0,0,12,17,1,18,Y,
2018-2019,19,64733,6016331,Los Angeles,Los Angeles Unified,Capistrano Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,444,327,0,5,0,194,349,74,356,Y,
2018-2019,19,64733,6016349,Los Angeles,Los Angeles Unified,Caroldale Learning Community,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,919,654,4,13,0,315,681,95,697,Y,
2018-2019,19,64733,6016356,Los Angeles,Los Angeles Unified,Carpenter Community Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1235,Locally funded,N,K,5,"1,014",111,0,3,0,98,126,15,134,Y,
2018-2019,19,64733,6016364,Los Angeles,Los Angeles Unified,Carson Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,681,494,4,19,0,240,518,32,520,Y,
2018-2019,19,64733,6016372,Los Angeles,Los Angeles Unified,Carthay Elementary Of Environmental Studies Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,329,197,0,2,0,127,206,60,211,Y,
2018-2019,19,64733,6016380,Los Angeles,Los Angeles Unified,Castelar Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,641,341,1,7,0,352,387,247,447,Y,
2018-2019,19,64733,6016398,Los Angeles,Los Angeles Unified,Castle Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,571,162,3,5,0,106,180,34,190,Y,
2018-2019,19,64733,6016406,Los Angeles,Los Angeles Unified,Catskill Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,490,404,7,14,0,237,406,100,416,Y,
2018-2019,19,64733,6016414,Los Angeles,Los Angeles Unified,Century Park Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,306,274,9,2,0,156,277,61,280,Y,
2018-2019,19,64733,6016422,Los Angeles,Los Angeles Unified,Chandler Learning Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,No,N/A,N/A,N,K,5,518,223,0,4,0,147,247,54,264,Y,
2018-2019,19,64733,6016430,Los Angeles,Los Angeles Unified,Chapman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,430,323,0,6,0,196,339,74,348,Y,
2018-2019,19,64733,6016448,Los Angeles,Los Angeles Unified,Charnock Road Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,295,228,1,8,0,133,240,100,254,Y,
2018-2019,19,64733,6016455,Los Angeles,Los Angeles Unified,Chase Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,525,470,2,27,2,267,473,210,485,Y,
